0 0
1.75 2.23
3.5 4.46
5.25 6.69
7 8.92
8.75 11.15
10.5 13.38
12.25 15.61
14 17.84
15.75 20.07
17.5 22.3
19.25 24.53
21 26.76
22.75 28.99
24.5 31.22
26.25 33.45
28 35.68
29.75 37.91
31.5 40.14
33.25 42.37
35 44.6
36.75 46.83
38.5 49.06
40.25 51.29
42 53.52
43.75 55.75
45.5 57.98
47.25 60.21
49 62.44
50.75 64.67
52.5 66.9
54.25 69.13
56 71.36
57.75 73.59
59.5 75.82
61.25 78.05
63 80.28
64.75 82.51
66.5 84.74
68.25 86.97
70 89.2
71.75 91.43
73.5 93.66
75.25 95.89
77 98.12
78.75 100.35
80.5 102.58
82.25 104.81
84 107.04
85.75 109.27
87.5 111.5
89.25 113.73
91 115.96
92.75 118.19
94.5 120.42
96.25 122.65
98 124.88
99.75 127.11
101.5 129.34
103.25 131.57
105 133.8
106.75 136.03
108.5 138.26
110.25 140.49
112 142.72
113.75 144.95
115.5 147.18
117.25 149.41
119 151.64
120.75 153.87
122.5 156.1
124.25 158.33
126 160.56
127.75 162.79
129.5 165.02
131.25 167.25
133 169.48
134.75 171.71
136.5 173.94
138.25 176.17
140 178.4
141.75 180.63
143.5 182.86
145.25 185.09
147 187.32
148.75 189.55
150.5 191.78
152.25 194.01
154 196.24
155.75 198.47
157.5 200.7
159.25 202.93
161 205.16
162.75 207.39
164.5 209.62
166.25 211.85
168 214.08
169.75 216.31
171.5 218.54
173.25 220.77
